responseId,view_label,ID_enter,ID_exit,videos,video_time,datetimestamp_start,datetimestamp_end,date,signaling,congestion_enter_rating,congestion_exit_rating,time_segment_id,cycle_phase
zYkHaeOdB7XOnvgP3YW5kQs,Norman Niles #1,time_segment_0_Norman Niles #1_congestion_enter_rating,time_segment_0_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-00-45.mp4,2025-10-20 06:00:45,2025-10-20 06:00:45,2025-10-20 06:01:44,2025-10-20,none,free flowing,free flowing,0,train
NYsHaeCRLq-vnvgPjoXZqA0,Norman Niles #1,time_segment_1_Norman Niles #1_congestion_enter_rating,time_segment_1_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-01-45.mp4,2025-10-20 06:01:45,2025-10-20 06:01:45,2025-10-20 06:02:44,2025-10-20,none,free flowing,free flowing,1,train
A40HaYT8KNm7nvgPq8e12AU,Norman Niles #1,time_segment_2_Norman Niles #1_congestion_enter_rating,time_segment_2_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-02-45.mp4,2025-10-20 06:02:45,2025-10-20 06:02:45,2025-10-20 06:03:00,2025-10-20,none,free flowing,free flowing,2,train
EIsHaanDMK-vnvgPjoXZqA0,Norman Niles #1,time_segment_3_Norman Niles #1_congestion_enter_rating,time_segment_3_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-03-45.mp4,2025-10-20 06:03:45,2025-10-20 06:03:45,2025-10-20 06:04:44,2025-10-20,none,free flowing,free flowing,3,train
RYsHafSeMaqpmecP5vCV0AQ,Norman Niles #1,time_segment_4_Norman Niles #1_congestion_enter_rating,time_segment_4_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-04-45.mp4,2025-10-20 06:04:45,2025-10-20 06:04:45,2025-10-20 06:04:59,2025-10-20,none,free flowing,free flowing,4,train
SIsHaebOK7mfnvgPoaTSqQ0,Norman Niles #1,time_segment_5_Norman Niles #1_congestion_enter_rating,time_segment_5_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-05-45.mp4,2025-10-20 06:05:45,2025-10-20 06:05:45,2025-10-20 06:06:44,2025-10-20,none,free flowing,free flowing,5,train
EI0HadH5KqHXnvgP76fxyQI,Norman Niles #1,time_segment_6_Norman Niles #1_congestion_enter_rating,time_segment_6_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-06-45.mp4,2025-10-20 06:06:45,2025-10-20 06:06:45,2025-10-20 06:07:44,2025-10-20,low,free flowing,free flowing,6,train
A40HaYaBG8jtnvgP8NiHuAw,Norman Niles #1,time_segment_7_Norman Niles #1_congestion_enter_rating,time_segment_7_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-07-45.mp4,2025-10-20 06:07:45,2025-10-20 06:07:45,2025-10-20 06:08:44,2025-10-20,none,free flowing,free flowing,7,train
04kHacmOLrXOnvgP3YW5kQs,Norman Niles #1,time_segment_8_Norman Niles #1_congestion_enter_rating,time_segment_8_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-08-45.mp4,2025-10-20 06:08:45,2025-10-20 06:08:45,2025-10-20 06:09:44,2025-10-20,none,free flowing,free flowing,8,train
EI0HaeWIIb-envgP6uGTmAE,Norman Niles #1,time_segment_9_Norman Niles #1_congestion_enter_rating,time_segment_9_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-06-09-45.mp4,2025-10-20 06:09:45,2025-10-20 06:09:45,2025-10-20 06:10:44,2025-10-20,none,free flowing,free flowing,9,train
